sent_id,receive_id
87,80
87,80
32,80
32,80
80,81
80,185
32,80
80,81
87,80
87,80
87,80
87,80
87,80
32,80
77,80
213,80
213,80
87,80
87,213
80,87
80,185
80,185
80,87
87,80
194,80
87,80
32,80
21,80
81,80
87,80
32,80
87,80
80,185
87,80
32,32
185,80
32,80
81,80
32,80
87,80
22,32
80,160
80,87
32,80
87,80
194,80
80,87
80,87
22,32
87,80
194,80
194,80
216,80
80,87
32,80
87,80
87,80
32,80
80,185
32,80
87,80
32,80
80,87
87,80
80,185
87,80
194,80
80,185
150,80
32,80
80,87
32,80
87,80
194,80
87,80
80,81
32,80
87,80
87,80
80,32
32,80
32,80
80,87
48,80
150,80
87,80
80,150
150,48
81,80
80,150
87,80
81,80
81,80
150,80
170,201
150,80
81,80
87,80
80,81
48,87
80,150
81,80
80,87
87,80
32,80
48,80
150,80
32,80
80,150
80,150
87,80
150,80
80,150
80,150
80,150
80,116
87,80
150,80
80,87
213,80
80,150
87,80
32,80
87,80
32,80
32,80
80,32
32,80
80,32
32,80
80,87
87,80
87,80
80,32
32,80
87,80
80,87
87,80
32,80
87,80
80,150
32,80
32,80
81,80
80,87
194,80
32,80
81,80
87,80
143,80
80,32
80,32
32,80
80,87
80,81
80,81
87,80
80,185
32,80
38,80
80,185
80,160
32,80
32,80
32,80
87,80
87,80
32,80
80,32
32,80
32,80
170,80
87,80
194,80
80,185
80,87
87,80
32,80
80,160
81,80
80,150
32,80
32,80
80,150
87,80
32,80
80,150
32,87
32,80
80,150
81,80
80,150
80,150
170,32
80,150
80,87
32,80
80,32
80,32
80,150
32,80
32,80
150,87
87,80
32,80
80,32
87,80
87,80
87,80
32,80
87,80
80,185
32,80
87,80
32,80
80,32
87,80
32,80
32,80
87,80
80,32
80,87
124,80
32,80
32,80
32,80
124,80
32,80
32,80
80,160
80,124
38,80
32,80
32,80
32,80
32,80
194,80
32,80
32,80
194,80
80,216
32,80
216,80
201,80
80,201
32,80
80,32
87,80
80,32
87,80
80,87
80,185
87,80
80,87
80,87
87,80
170,80
87,80
80,185
80,87
87,80
87,80
87,80
87,80
87,80
